LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,LGA_CODE,LGA_NAME
NSW2446,LYNCHS CREEK,GAZETTED LOCALITY,2474,NSW,LGA14550,Kyogle (A)
NSW2447,LYNDHURST,GAZETTED LOCALITY,2797,NSW,LGA10850,Blayney (A)
NSW2448,LYNDHURST,GAZETTED LOCALITY,2350,NSW,LGA10130,Armidale Regional (A)
NSW2449,LYNWOOD,GAZETTED LOCALITY,2477,NSW,LGA10250,Ballina (A)
NSW2450,MABINS WELL,GAZETTED LOCALITY,2716,NSW,LGA12730,Edward River (A)
NSW2451,MACDONALDS CREEK,GAZETTED LOCALITY,2339,NSW,LGA14920,Liverpool Plains (A)
NSW2452,MACKSVILLE,GAZETTED LOCALITY,2447,NSW,LGA15700,Nambucca (A)
NSW2453,MACLEAN,GAZETTED LOCALITY,2463,NSW,LGA11730,Clarence Valley (A)
NSW2454,MACMASTERS BEACH,GAZETTED LOCALITY,2251,NSW,LGA11650,Central Coast (C) (NSW)
NSW2455,MACQUARIE FIELDS,GAZETTED LOCALITY,2564,NSW,LGA11500,Campbelltown (C) (NSW)
NSW2456,MACQUARIE HILLS,GAZETTED LOCALITY,2285,NSW,LGA14650,Lake Macquarie (C)
NSW2457,MACQUARIE LINKS,GAZETTED LOCALITY,2565,NSW,LGA11500,Campbelltown (C) (NSW)
NSW2458,MACQUARIE MARSHES,GAZETTED LOCALITY,2831,NSW,LGA12150,Coonamble (A)
NSW2459,MACQUARIE PARK,GAZETTED LOCALITY,2113,NSW,LGA16700,Ryde (C)
NSW2460,MACQUARIE PASS,GAZETTED LOCALITY,2577,NSW,LGA16900,Shellharbour (C)
NSW2461,MADDENS PLAINS,GAZETTED LOCALITY,2508,NSW,LGA18450,Wollongong (C)
NSW2462,MAFFRA,GAZETTED LOCALITY,2630,NSW,LGA17040,Snowy Monaro Regional (A)
NSW2463,MAGENTA,GAZETTED LOCALITY,2261,NSW,LGA11650,Central Coast (C) (NSW)
NSW2464,MAGOMETON,GAZETTED LOCALITY,2829,NSW,LGA12150,Coonamble (A)
NSW2465,MAIANBAR,GAZETTED LOCALITY,2230,NSW,LGA17150,Sutherland Shire (A)
NSW2466,MAIMURU,GAZETTED LOCALITY,2594,NSW,LGA13910,Hilltops (A)
NSW2467,MAIN ARM,GAZETTED LOCALITY,2482,NSW,LGA11350,Byron (A)
NSW2468,MAIN CREEK,GAZETTED LOCALITY,2420,NSW,LGA12700,Dungog (A)
NSW2469,MAIRJIMMY,GAZETTED LOCALITY,2716,NSW,LGA15560,Murrumbidgee (A)
NSW2470,MAISON DIEU,GAZETTED LOCALITY,2330,NSW,LGA17000,Singleton (A)
NSW2471,MAITLAND,GAZETTED LOCALITY,2320,NSW,LGA15050,Maitland (C)
NSW2472,MAITLAND BAR,GAZETTED LOCALITY,2850,NSW,LGA15270,Mid-Western Regional (A)
NSW2473,MAITLAND VALE,GAZETTED LOCALITY,2320,NSW,LGA15050,Maitland (C)
NSW2474,MAJORS CREEK,GAZETTED LOCALITY,2622,NSW,LGA16490,Queanbeyan-Palerang Regional (A)
NSW2475,MALABAR,GAZETTED LOCALITY,2036,NSW,LGA16550,Randwick (C)
NSW2476,MALABUGILMAH,GAZETTED LOCALITY,2460,NSW,LGA11730,Clarence Valley (A)
NSW2477,MALDON,GAZETTED LOCALITY,2571,NSW,LGA18400,Wollondilly (A)
NSW2478,MALLABULA,GAZETTED LOCALITY,2319,NSW,LGA16400,Port Stephens (A)
NSW2479,MALLAN,GAZETTED LOCALITY,2734,NSW,LGA15520,Murray River (A)
NSW2480,MALLANGANEE,GAZETTED LOCALITY,2469,NSW,LGA14550,Kyogle (A)
NSW5052,MALLEE,GAZETTED LOCALITY,2738,NSW,LGA18200,Wentworth (A)
NSW2481,MALLOWA,GAZETTED LOCALITY,2400,NSW,LGA15300,Moree Plains (A)
NSW2482,MALONEYS BEACH,GAZETTED LOCALITY,2536,NSW,LGA12750,Eurobodalla (A)
NSW2483,MALUA BAY,GAZETTED LOCALITY,2536,NSW,LGA12750,Eurobodalla (A)
NSW2484,MANAR,GAZETTED LOCALITY,2622,NSW,LGA16490,Queanbeyan-Palerang Regional (A)
NSW5080,MANCHESTER SQUARE,GAZETTED LOCALITY,2577,NSW,LGA18350,Wingecarribee (A)
NSW2486,MANDAGERY,GAZETTED LOCALITY,2870,NSW,LGA11400,Cabonne (A)
NSW2487,MANDALONG,GAZETTED LOCALITY,2264,NSW,LGA14650,Lake Macquarie (C)
NSW5063,MANDEMAR,GAZETTED LOCALITY,2575,NSW,LGA18350,Wingecarribee (A)
NSW2488,MANDURAMA,GAZETTED LOCALITY,2792,NSW,LGA10850,Blayney (A)
NSW2489,MANGERTON,GAZETTED LOCALITY,2500,NSW,LGA18450,Wollongong (C)
NSW2490,MANGOOLA,GAZETTED LOCALITY,2328,NSW,LGA15650,Muswellbrook (A)
NSW2491,MANGOPLAH,GAZETTED LOCALITY,2652,NSW,LGA17750,Wagga Wagga (C)
NSW2492,MANGROVE CREEK,GAZETTED LOCALITY,2250,NSW,LGA11650,Central Coast (C) (NSW)
NSW2493,MANGROVE MOUNTAIN,GAZETTED LOCALITY,2250,NSW,LGA11650,Central Coast (C) (NSW)
NSW2494,MANILDRA,GAZETTED LOCALITY,2865,NSW,LGA11400,Cabonne (A)
NSW2495,MANILLA,GAZETTED LOCALITY,2346,NSW,LGA17310,Tamworth Regional (A)
NSW2496,MANLY,GAZETTED LOCALITY,2095,NSW,LGA15990,Northern Beaches (A)
NSW2497,MANLY VALE,GAZETTED LOCALITY,2093,NSW,LGA15990,Northern Beaches (A)
NSW2498,MANNERING PARK,GAZETTED LOCALITY,2259,NSW,LGA11650,Central Coast (C) (NSW)
NSW2499,MANNING POINT,GAZETTED LOCALITY,2430,NSW,LGA15240,Mid-Coast (A)
NSW2500,MANNUS,GAZETTED LOCALITY,2653,NSW,LGA17080,Snowy Valleys (A)
NSW2501,MANOBALAI,GAZETTED LOCALITY,2333,NSW,LGA15650,Muswellbrook (A)
NSW2502,MANTON,GAZETTED LOCALITY,2582,NSW,LGA18710,Yass Valley (A)
NSW2503,MANYANA,GAZETTED LOCALITY,2539,NSW,LGA16950,Shoalhaven (C)
NSW2504,MARAGLE,GAZETTED LOCALITY,2653,NSW,LGA17080,Snowy Valleys (A)
NSW2505,MARAYLYA,GAZETTED LOCALITY,2765,NSW,LGA13800,Hawkesbury (C)
NSW2506,MARAYONG,GAZETTED LOCALITY,2148,NSW,LGA10750,Blacktown (C)
NSW2507,MARCH,GAZETTED LOCALITY,2800,NSW,LGA11400,Cabonne (A)
NSW2508,MARCHMONT,GAZETTED LOCALITY,2582,NSW,LGA18710,Yass Valley (A)
NSW2509,MARDI,GAZETTED LOCALITY,2259,NSW,LGA11650,Central Coast (C) (NSW)
NSW2510,MARENGO,GAZETTED LOCALITY,2453,NSW,LGA11730,Clarence Valley (A)
NSW2511,MARES RUN,GAZETTED LOCALITY,2422,NSW,LGA15240,Mid-Coast (A)
NSW2512,MARINNA,GAZETTED LOCALITY,2663,NSW,LGA14300,Junee (A)
NSW2513,MARKS POINT,GAZETTED LOCALITY,,NSW,LGA14650,Lake Macquarie (C)
NSW2514,MARKWELL,GAZETTED LOCALITY,2423,NSW,LGA15240,Mid-Coast (A)
NSW2515,MARLEE,GAZETTED LOCALITY,2429,NSW,LGA15240,Mid-Coast (A)
NSW2516,MARLO MERRICAN,GAZETTED LOCALITY,2441,NSW,LGA16380,Port Macquarie-Hastings (A)
NSW2517,MARLOW,GAZETTED LOCALITY,2775,NSW,LGA11650,Central Coast (C) (NSW)
NSW2518,MARLOWE,GAZETTED LOCALITY,2622,NSW,LGA16490,Queanbeyan-Palerang Regional (A)
NSW2519,MARMONG POINT,GAZETTED LOCALITY,2284,NSW,LGA14650,Lake Macquarie (C)
NSW2520,MAROM CREEK,GAZETTED LOCALITY,2480,NSW,LGA14850,Lismore (C)
NSW2521,MAROOTA,GAZETTED LOCALITY,2756,NSW,LGA17420,The Hills Shire (A)
NSW2522,MAROUBRA,GAZETTED LOCALITY,2035,NSW,LGA16550,Randwick (C)
NSW2523,MARRANGAROO,GAZETTED LOCALITY,2790,NSW,LGA14870,Lithgow (C)
NSW2524,MARRAR,GAZETTED LOCALITY,2652,NSW,LGA12000,Coolamon (A)
NSW2525,MARRICKVILLE,GAZETTED LOCALITY,2204,NSW,LGA14170,Inner West (A)
NSW2526,MARSDEN PARK,GAZETTED LOCALITY,2765,NSW,LGA10750,Blacktown (C)
NSW2527,MARSFIELD,GAZETTED LOCALITY,2122,NSW,LGA16700,Ryde (C)
NSW2528,MARSHALL MOUNT,GAZETTED LOCALITY,2530,NSW,LGA18450,Wollongong (C)
NSW2529,MARSHDALE,GAZETTED LOCALITY,2420,NSW,LGA12700,Dungog (A)
NSW2530,MARTHAGUY,GAZETTED LOCALITY,2824,NSW,LGA17950,Warren (A)
NSW2531,MARTINDALE,GAZETTED LOCALITY,2328,NSW,LGA15650,Muswellbrook (A)
NSW2532,MARTINS CREEK,GAZETTED LOCALITY,2420,NSW,LGA12700,Dungog (A)
NSW2533,MARTINSVILLE,GAZETTED LOCALITY,2265,NSW,LGA14650,Lake Macquarie (C)
NSW2534,MARULAN,GAZETTED LOCALITY,2579,NSW,LGA13310,Goulburn Mulwaree (A)
NSW2535,MARYLAND,GAZETTED LOCALITY,2287,NSW,LGA15900,Newcastle (C)
NSW2536,MARYLAND,GAZETTED LOCALITY,4377,NSW,LGA17400,Tenterfield (A)
NSW2537,MARYS MOUNT,GAZETTED LOCALITY,2380,NSW,LGA13550,Gunnedah (A)
NSW2538,MARYVALE,GAZETTED LOCALITY,2820,NSW,LGA18230,Western Plains Regional (A)
NSW2539,MARYVILLE,GAZETTED LOCALITY,2293,NSW,LGA15900,Newcastle (C)
NSW2540,MASCOT,GAZETTED LOCALITY,2020,NSW,LGA11100,Botany Bay (C)
NSW2541,MATCHAM,GAZETTED LOCALITY,2250,NSW,LGA11650,Central Coast (C) (NSW)
NSW2542,MATHESON,GAZETTED LOCALITY,2370,NSW,LGA13010,Glen Innes Severn (A)
NSW2543,MATHOURA,GAZETTED LOCALITY,2710,NSW,LGA15520,Murray River (A)
NSW2544,MATONG,GAZETTED LOCALITY,2652,NSW,LGA12000,Coolamon (A)
NSW2545,MATRAVILLE,GAZETTED LOCALITY,2036,NSW,LGA16550,Randwick (C)
NSW2546,MAUDE,GAZETTED LOCALITY,2711,NSW,LGA13850,Hay (A)
NSW2547,MAULES CREEK,GAZETTED LOCALITY,2382,NSW,LGA15750,Narrabri (A)
NSW2548,MAXWELL,GAZETTED LOCALITY,2650,NSW,LGA17750,Wagga Wagga (C)
NSW2549,MAYBOLE,GAZETTED LOCALITY,2365,NSW,LGA14200,Inverell (A)
NSW2550,MAYERS FLAT,GAZETTED LOCALITY,2423,NSW,LGA15240,Mid-Coast (A)
NSW2551,MAYFIELD,GAZETTED LOCALITY,2580,NSW,LGA16490,Queanbeyan-Palerang Regional (A)
NSW2552,MAYFIELD,GAZETTED LOCALITY,2787,NSW,LGA16100,Oberon (A)
NSW2553,MAYFIELD,GAZETTED LOCALITY,2304,NSW,LGA15900,Newcastle (C)
NSW2554,MAYFIELD,GAZETTED LOCALITY,2540,NSW,LGA16950,Shoalhaven (C)
NSW2555,MAYFIELD EAST,GAZETTED LOCALITY,2304,NSW,LGA15900,Newcastle (C)
NSW2556,MAYFIELD NORTH,GAZETTED LOCALITY,2304,NSW,LGA15900,Newcastle (C)
NSW2557,MAYFIELD WEST,GAZETTED LOCALITY,2304,NSW,LGA15900,Newcastle (C)
NSW2558,MAYRUNG,GAZETTED LOCALITY,2710,NSW,LGA12730,Edward River (A)
NSW2559,MAYS HILL,GAZETTED LOCALITY,2145,NSW,LGA12380,Cumberland (A)
NSW2560,MAYVALE,GAZETTED LOCALITY,2347,NSW,LGA17310,Tamworth Regional (A)
NSW5089,MCCARRS CREEK,GAZETTED LOCALITY,2105,NSW,LGA15990,Northern Beaches (A)
NSW2561,MCCULLYS GAP,GAZETTED LOCALITY,2333,NSW,LGA15650,Muswellbrook (A)
